run_id,profile_key,city,num_days,solver,routing,total_relevance,avg_relevance,num_activities_included,landmark_coverage,intra_list_diversity,idle_minutes_per_day,budget_fill_rate,real_overrun_day_rate,real_overrun_min_avg,stops_per_day,meals_complete_rate,num_days_filled,solve_time_ms
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,2,greedy,estimated,7.8641,0.5617,14,0.2667,0.4555,98.8,1.0,0.0,0.0,7.0,1.0,2,397
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,2,greedy,real,7.8641,0.5617,14,0.2667,0.4555,83.6,1.0,0.0,0.0,7.0,1.0,2,3179
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,2,toptw,estimated,10.0702,0.6294,16,0.2667,0.2154,82.2,1.0,0.0,0.0,8.0,0.5,2,280
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,2,toptw,real,9.5924,0.5995,16,0.2667,0.2897,36.1,1.0,0.0,0.0,8.0,1.0,2,1395
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,4,greedy,estimated,16.0927,0.5747,28,0.4,0.4254,69.4,1.0,0.0,0.0,7.0,1.0,4,443
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,4,greedy,real,15.4459,0.5721,27,0.4,0.436,73.1,1.0,0.0,0.0,6.75,1.0,4,4523
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,4,toptw,estimated,14.5203,0.605,24,0.3333,0.0812,67.7,1.0,0.0,0.0,6.0,1.0,4,489
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_foodie,Madrid,4,toptw,real,15.5839,0.5994,26,0.3333,0.1354,79.1,1.0,0.0,0.0,6.5,0.75,4,1580
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,2,greedy,estimated,8.1806,0.6293,13,0.3333,0.4784,74.1,1.0,0.0,0.0,6.5,1.0,2,405
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,2,greedy,real,8.1806,0.6293,13,0.3333,0.4784,73.4,1.0,0.0,0.0,6.5,1.0,2,672
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,2,toptw,estimated,10.7152,0.6697,16,0.3333,0.3526,32.2,1.0,0.0,0.0,8.0,1.0,2,132
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,2,toptw,real,9.2892,0.6635,14,0.2667,0.4205,97.4,1.0,0.0,0.0,7.0,1.0,2,383
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,4,greedy,estimated,17.2326,0.6628,26,0.6,0.4391,16.6,1.0,0.25,5.1,6.5,1.0,4,457
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,4,greedy,real,16.611,0.6644,25,0.6,0.4183,27.5,1.0,0.0,0.0,6.25,1.0,4,1216
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,4,toptw,estimated,18.7482,0.6465,29,0.4,0.334,55.4,1.0,0.25,2.2,7.25,0.75,4,218
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_generalist,Madrid,4,toptw,real,17.7462,0.6338,28,0.3333,0.3701,42.4,1.0,0.0,0.0,7.0,0.75,4,463
39f8ca7e-12f3-408d-8ee0-ff4da86c328e,couple_museums,Madrid,2,greedy,estimated,11.9464,0.7027,17,0.4,0.4519,21.5,1.0,0.5,3.1,8.5,1.0,2,392
